職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
APP軟體開發工程師(IOS),天眼衛星科技股份有限公司,1~2人,"軟體工程師
、Internet程式設計師
、通訊軟體工程師","月薪32,000~55,000元",不拘,大學,台中市北屯區,2年,"(1) 使用 Xcode 或 Android Studio 開發 iOS 或 Android 行動裝置產品(擇一皆可)。
(2) 軟體架構及模組之設計與開發。
(3) 規劃、執行與維護APP。"
台積電駐廠儀控課助理工程師(無經驗可)-台中,河筧工程有限公司,不限,軟體工程師,"月薪34,500~43,000元",不拘,不拘,台中市西屯區,不拘,"1.電腦Office文書軟體、基礎網路管理
2.熟悉電子學基礎認知
3.熟悉網頁開發C#  HTML ,  MS SQL資料庫維護處理。
4.文書處理。
5.完成主管交辦事務。
(相關資訊或資工科系為佳，無經驗可)

※因在台積電廠內工作，故無法帶3C產品或可置入資料的產品進廠(EX:智慧型手機、隨身碟、APPLE WATCH或小米手環等)

※三節禮金、生日禮金、年終尾牙及抽獎活動 
※期滿或年終獎金2～6個月(視職務、工作、績效、出勤等因素評核而增減調整)    "
"Director of IT, Digital & Data, Cybersecurity (DB&T)",台灣威立雅環境資源股份有限公司,1人,"資安主管
、MIS／網管主管",待遇面議,不拘,大學,台北市中山區,10年,"We are seeking an experienced leader to serve as our Director of IT, Digital & Data, and Cybersecurity (DB&T) for the Veolia Taiwan Business Unit, which includes a head-office and various subsidiaries. This pivotal role will be responsible for driving our organisation’s technological advancement, digital transformation, and data-driven decision-making while ensuring robust cybersecurity measures.
The successful candidate will lead the development and execution of a comprehensive strategy that leverages IT, Digital & Data to enhance operational efficiency, drive business growth, and maintain a competitive edge in our industry.

Key responsibilities:
- Align IT strategies with business objectives
- Spearhead digital transformation initiatives, especially using Google tools
- Develop and implement data management and analytics programs, particularly through datalakes
- Establish and maintain cybersecurity framework
- Coordinate network of digital & technology professionals

Role requires:
- Forward-thinking individual
- Balance strategic vision with practical implementation
- Navigate complex technological landscapes
- Communicate effectively with technical and non-technical stakeholders
- Collaborative leader
- Foster innovation, drive change
- Ensure organisation remains at forefront of technological advancements
- Maintain highest standards of data security and integrity"
業務助理,華茂資訊股份有限公司,2~3人,"業務助理
、其他客服人員
、資訊助理","月薪32,000~42,000元",行政事務處理、文件檔案資料處理、轉換及整合工作、客戶資料更新維護、業績目標分配與績效達成、客訴案件處理、產品進銷存統計分析,專科,新北市中和區,不拘,"1.客戶端之溝通事宜、顧客連絡資料整理
2.出貨單、訂單及報價單之處理及整理
3.負責部門相關文件之整理，建檔及追蹤，於有效時間內回覆顧客信件
4.定期提供業務銷售狀況報表
5.主管交辦事宜或部門後勤支援
6.與其他部門間的溝通協調，與負責廠商、合作或供應商之聯繫"
行政客服,壹立方數碼股份有限公司,1人,"行政助理
、資訊助理
、文字客服","月薪29,000~34,000元",文書處理╱排版能力、行政事務處理、電話接聽與人員接待事項、文件或資料輸入建檔處理、管理行事曆與會議協調安排,專科,台南市永康區,不拘,"● 客戶到訪接待。
● 線上客服：客戶維繫、客戶需求彙整、客戶線上回覆。
● 協助內部行政表單製作。
● 內部各部門行政支援。
● 會議安排及會議記錄。
● 文件檔案歸檔與整理。
● 報表、簡報製作。
● 日常行政庶務工作。
● 協助系統測試、彙整。
● 活動佈展及參展。
● 人才招募行政事宜。
● 入職、離職行政事宜。
● 文件收發郵寄。
● 處理主管交辦事項。

※ 成就/樂趣 ※
我們正在尋找對軟體開發充滿熱情、善於解決問題的人才。 
我們充滿活力、專注於客戶滿意度。 
如果你熱愛技術並渴望加入這樣的團隊，這將是你理想的工作環境。 
讓我們攜手合作，共同開創美好的未來。

※ 職涯規劃※
行政客服人員➡️資深客服人員➡️客服專員➡️資深客服專員➡️儲備客服主管➡️客服主管

※ 歡迎所有求職者、應屆畢業生...等"
軟韌體研發工程師 Software / Firmware Development Engineer,八洋精密股份有限公司,1人,"軟韌體測試工程師
、韌體工程師
、資訊助理",待遇面議,不拘,專科,新北市三重區,不拘,"【公司介紹】

公司成立邁向第7年，位於新北市
自有品牌 「CREST Diving」 是台灣潛水精品知名品牌，銷售據點遍布全台各地、日本、香港、韓國、英國等
我們是積極拓展、努力有衝勁的團隊，年成長幅度超過100% !

我們的產品賣到台灣及全世界，歐美日第一線潛水品牌也是我們的客戶。因為我們的產品絕非一般常見無趣的消費性電子產品，也不會隨便拿低品質爛方案的turn key來隨便做產品騙錢。如果你期望自己的技術不是被埋沒在沒人在乎且外面一堆me too的方案中，歡迎你來加入！ 


對於未來的你，開始的工作會包含：

【職務內容】
1. 研發與設計文件撰寫或整理
2. GUI版本維護及協助發行版本管理
3. 產品設計、可靠性、安規等功能測試驗證
4. 其他主管交辦事項

【技能需求】
需有基本程式語言能力: C、C++為主

【加分技能】
若具有Embedded、硬體架構經驗者尤佳

【人格特質】
1. 負責任、自我時間管理能力佳
2. 主動積極、具團隊合作的精神
3. 表達能力及溝通協調能力佳

【工作環境介紹】
1. 公司位於三重湯城園區內，靠近新北市三重、板橋、新莊交界處。靠近新莊IKEA、捷運站。捷運站請搭到先嗇宮站、出站步行5分鐘；公車站請搭到中興街口、下車步行2分鐘即可抵達。
園區內提供大樓管理室、公共廁所、茶水間、電梯、餐食販售、其他公共區域等標準設置。
2. 公司辦公區域、內倉庫皆冷氣開放。
3. 公司提供辦公所需之電腦、相關文具；公司內員工茶水間有飲料零食吧、微波爐、小烤箱、冰溫熱飲水機、電冰箱、咖啡機、電鍋等小家電可自由取用。
4. 上班辦公無服裝穿著規定，一般衣物乾淨整潔即可，不需穿著制服，可換穿室內拖鞋。"
Junior Back-end Golang Developer-後端Golang工程師,美商時豪科技股份有限公司,1~2人,後端工程師,待遇面議,軟體工程系統開發,大學,台北市中正區,不拘,"1.使用 Golang 開發和維護高效能的後端服務和 API。
2.修復系統問題，協助進行 Bug 診斷與解決。
3.撰寫和優化代碼，確保良好的代碼品質和可維護性。
4.配合團隊進行系統測試、部署和運維支持。"
內勤維修工程師,華茂資訊股份有限公司,1~2人,"電腦組裝／測試
、網路管理工程師
、系統工程師","月薪34,000~45,000元",不拘,不拘,新北市中和區,1年,"【職務目標】 產品維修及分析

【工作內容】
1. RMA品維修及分析
2. 不良料件更換及分析
3. 例行性文件撰寫
4. 提出不良品改善建議
5..協助與維修客戶所提出產品相關應用技術問題，並提供客戶技術支援服務。
6.協助客戶於產品上的產品使用方面的技術訓練。
7.配合公司與客戶的需求，安裝設備與售後問題。
8.協助主管交辦事項。

# 願意配合【學習與修繕 POS 硬體週邊設備】。
#有服務熱忱、有責任感，具高度學習意願。"
資訊工程師,威釩資訊股份有限公司,3人,"網路管理工程師
、MIS／網管主管
、系統工程師","月薪32,000~50,000元",規劃與管理防火牆、網路設備設定安裝、網路規劃管理、網路系統配置、網路系統危機管理、伺服器網站管理維護、安裝與維護網路安全系統、系統架構規劃與維護、系統整合分析、系統架構規劃、資訊設備環境設定、資訊設備操作檢修、電腦設備裝配、資料備份與復原、作業系統基本操作,專科,台北市中山區,不拘,"你有幾年 IT 維運經驗，技術沒問題，穩定度也不錯。
但你知道，這樣下去…你的成長會停在原地。
你期待的是：
• 能夠在不同的企業環境裡解決各種真實問題
• 能夠接觸更完整的系統架構與雲端技術
• 能夠有一群專業的同事陪你一起打怪、升級、破關
這份職缺，就是為你這樣的工程師所設計的。
 
這份工作不一樣的地方：
• 我們提供 IT 顧問服務給多家企業客戶
• 你會面對不同規模、不同產業、不同需求的 IT 挑戰
• 你需要能獨立完成任務，也能與團隊協作分工
• 我們會給你學習資源、技術交流、與成長的機會
 
主要任務包含：
• 維運與建置企業客戶的伺服器、網路、資安設備
• 協助規劃與管理雲端服務（M365 / Azure / Exchange Online）
• 解決系統異常、強化環境穩定性與資安防護
• 撰寫技術文檔、維護操作流程，提升團隊效率
• 有機會參與專案提案與技術導入，累積顧問實力
 
 我們希望你能從這裡獲得：
• 職涯升級機會：從系統操作員→資深顧問的具體成長路徑
• 跨界經驗值爆棚：累積對多產業 IT 結構的理解與建議能力
• 團隊共學文化：內部定期交流與訓練，不怕跟不上趨勢
• 成就感十足：每解決一次企業痛點，你的價值就更明確

 
你會看見的薪資成長：
• 基本薪資依能力調整，表現好就會再加碼
• 專案激勵獎金、季度績效獎金制度透明
• 不定期調薪機制，你的努力不會白費
• 內部推薦獎金，找對夥伴我們一起變強
• 還有外勤補貼、教育訓練、內部晉升制度等你來挑戰
 

你想變得更專業、也更值錢。
那你值得一個讓你站上「顧問型工程師」起跑線的職位，這裡正在等你。
如果你對自己的技術有期待、對自己的未來有想像，
那就來聊聊，看我們是否能一起打造你的下一步"
【總公司】MIS專員,日商樂比亞股份有限公司台灣分公司,1人,"MIS／網管主管
、資訊設備管制人員
、MIS程式設計師",待遇面議,安裝與維護網路安全系統、伺服器網站管理維護、網路系統配置、資訊設備操作檢修、資料備份與復原、資訊設備環境設定、網路系統危機管理、電腦設備裝配、作業系統基本操作、規劃與管理入侵防護系統（IPS）、系統維護操作、企業資源規劃管理(ERP),大學,台北市中正區,不拘,"1.公司資訊相關設備與電腦維護及資訊類資產管理。
2.各部門之資訊設備維護及故障排除。
3.協助排除各店系統及網管問題。
4.協助系統商POS機設備維運及整合業務推進及執行。
5.其他系統管理及維護。
6.公司內部設備申請、更換、維護及管理。
7.負責開店系統設備前置規劃及測試。
8.協助總務等行政事務。
9.主管交辦之事項及MIS相關工作。"
專案助理,巨創策略股份有限公司,1~2人,"軟體專案管理師
、專案助理
、系統分析師","月薪30,000~33,000元",不拘,專科,新北市新店區,不拘,"1. 協助專案管理師進行系統測試 ，使用者手冊及相關文件撰寫及歸檔。
2. 協助完成客戶問題排除或操作使用指導。
3. 陪同主管進行客戶需求訪談了解，及協助製作完成報價單及合約。
4. 主管交辦事務處理。
5. 熟網頁相關基本概念者佳。
6. 願意學習，做事認真，責任感高，能自我要求者。"
專案管理師 (網站專案執行),巨創策略股份有限公司,不限,"軟體專案管理師
、專案經理
、系統分析師","月薪33,000~40,000元",不拘,專科,新北市新店區,1年,"1. 負責專案之規劃、執行、監控、管理與協調
2. 使用者需求訪談及文件製作
3. 系統測試及品質管理
4. 對溝通協調能力有自信者
5. 熟悉網頁相關技術者優
6. 對於客戶輔導有熱情者優
7. 公司提供每月結案績效奬金
8. 舊客戶問題排除及追踪管理"
資訊助理 / MIS 人員,巨創策略股份有限公司,1~2人,"系統工程師
、MIS／網管主管
、網路管理工程師","月薪30,000~35,000元",不拘,專科,新北市新店區,不拘,"1.辦公室常用電腦軟硬體協助安裝與設定、基礎線路調整
2.資訊資產之採購、盤點、管理等作業
3.公司網路協助設定與操作，及機房、網路與系統維護管理
4.各項資訊系統維護、及測試工作
5.Windows Server、Linux 建置及相關服務安裝設定
6.協助公司資安相關規劃及檢測
7.公司內部系統及資訊軟體產品整理及測試與導入
8.AI 工具的學習與內部導入
9.主管交辦事宜處理
10.跨部門溝通協調

本職缺歡迎有資訊基礎，具有細心與熱忱對網路及資訊有強烈學習的您，一起加入我們團隊共同成長"
【產品開發部】前端工程師實習生 Frontend Engineer Intern,基因線上股份有限公司,1~3人,"前端工程師
、後端工程師
、全端工程師",時薪190元以上,產品開發、軟體工程系統開發、軟體程式設計、模組化系統設計,大學,台北市信義區,不拘,"Key Responsibilities:
✓ Develop and maintain the frontend of an industry database platform, ensuring a high-quality and responsive user experience.
✓ Maintain and update the WordPress website, modifying frontend pages as needed.
✓ Utilize React and Tailwind CSS to build and enhance frontend applications, ensuring responsive web design (RWD) compliance.
✓ Collaborate closely with designers and backend engineers to ensure smooth API integration and optimize application performance.
✓ Use Git & GitHub for version control, ensuring efficient team collaboration.
✓ Conduct performance tuning and optimization to enhance application speed, responsiveness, and stability."
ASP.NET Core軟體工程師,梅科科技股份有限公司,1~2人,"軟體工程師
、Internet程式設計師","月薪38,000元以上",軟體程式設計、網路程式設計,大學,台北市大安區,不拘,"1. 熟悉後端技術：Asp.Net MVC/Asp.Net Core。
2. 熟悉 C# 程式語言。
3. 熟悉Visual Studio操作
4. 清楚網站系統架構及流程
5. 懂資料存取技術：Entity Framework/Dapper。
6. 懂MS SQL SERVER
7. 懂HTML、JavaScript、jQuery和CSS3
8. 懂Git 與 GitHub的操作
9. 懂Docker相關指令操作"
Java工程師,維宜科技股份有限公司,1人,"軟體工程師
、後端工程師
、Internet程式設計師",待遇面議,不拘,大學,新北市三重區,1年,"1.參與產品功能開發與維護，包含後端邏輯實作、API 設計與資料庫操作
2.使用 Java 搭配 Spring Boot 框架進行企業級應用程式開發
3.維護與開發既有 PHP 系統，進行功能調整與優化
4.撰寫良好結構化的程式碼，並與團隊成員協作進行 code review
5.撰寫技術文件、協助測試、除錯、持續優化系統效能與穩定度
6.配合專案需求，與前端、PM 等跨部門協作"
資深軟韌體研發工程師 Senior Software / Firmware Development Engineer 台灣潛水精品知名品牌 CREST Diving,八洋精密股份有限公司,1人,"韌體工程師
、軟韌體測試工程師
、軟體工程師",待遇面議,不拘,專科,新北市三重區,7年,"公司介紹

公司成立邁入第七年，年成長幅度超過100%，我們的產品賣到台灣及全世界，歐美日第一線潛水品牌也是我們的客戶。因為我們的產品絕非一般常見無趣的消費性電子產品，也不會隨便拿低品質爛方案的turn key來隨便做產品騙錢。如果你期望自己的技術不是被埋沒在沒人在乎且外面一堆me too的方案中，歡迎你來加入！

軟韌體研發工程師將與我們其他團隊成員一起密切合作，參與產品開發的你，將有機會接觸到公司許多不同面向、快速經驗累積並成長茁壯。我們也期待未來的你將擁有參與產品規劃、制定規格、甚至決定產品策略、市場策略的成熟能力。八洋精密股份有限公司目前雖然是一個不大的團隊，但是每個人都是獨當一面且合作無間的夥伴，也是值得信賴的好同事。歡迎你一起來跟我們的高手一起共事！

內部討論合作中，在你經過短時間的瞭解及上手後，與其等待指令，主管及團隊通常更傾向問：「你會如何分析？你會怎麼想？你覺得怎麼做更好？」我們喜歡一項項解任務及突破困難的成就感，透過團隊合作，來解決問題、創造更好的產品與服務！

將你的想法透過程式語言來展現！我們希望你有積極、不斷突破的野心，也能同時顧及細節跟大局、給予團隊安全感。只要你有想法、有執行力、有積極的態度，八洋精密股份有限公司歡迎您的加入，讓公司與你一同壯大！


【職務內容】
1. 專案軟韌體架構設計、實作、驗證及維護
2. 專案韌體進度管控及開發流程規劃
3. 專案設計、可靠性、安規等功能測試驗證
4. 專案軟韌體問題分析及解決
5. 專案硬體電路評估
6. 專案相關文件建置與維護
7. 其他主管交辦事項

【技能需求】
1. C, C++, Python
2. 具Embedded、ARM、MCU相關經驗
3. FreeRTOS
4. Git, Github, Gitflow
5. 示波器、邏輯分析儀、電錶等儀器使用

【加分技能】
1. 會電路板焊接
2. 有建置過CICD相關經驗
3. 有撰寫過Unit Test相關經驗
4. 熟悉多種OS(FreeRTOS, RTOS, Zypher)
5. Cmake, Conan, Jenkins相關經驗


【人格特質】
1. 負責任、自我時間管理能力佳
2. 主動積極、具團隊合作的精神
3. 表達能力及溝通協調能力佳
4. 積極嘗試並吸收各種新技術及方法並應用
5. 細心且思考周全嚴密佳"
網管資訊專員,嘉澤端子工業股份有限公司,2人,"網路管理工程師
、資訊設備管制人員
、資安工程師",待遇面議,伺服器網站管理維護、資訊設備操作檢修、資訊設備環境設定、安裝與維護網路安全系統,專科,台北市南港區,不拘,"Job responsibilities:
1. 機房設備管理、監控，虛擬主機Esxi Proxmox管理。
2. Linux , Windows建置、維運、監控。
3. 實施網路安全防護措施，防範未經授權的訪問和潛在威脅。
4. Forti防火牆 & AP管理設定。
5. 跨區網路規劃及管理。
6. 公司內部人員電腦軟硬體設定與障礙排除。"
韌體工程師,科風股份有限公司,1人,韌體工程師,待遇面議,不拘,專科,新北市中和區,不拘,"1.太陽能逆變器(PV Inverter)與不斷電系統(UPS)的程式開發與維護。
2.執行、協助或配合韌體新技術之研發、導入。
3.多執行緒演算法與新一代Digital Power韌體開發與驗證。"
Software Product Manager (SW PM),美商正思網路股份有限公司台灣分公司,1~2人,"專案經理
、其他專案管理師
、系統工程師",待遇面議,專案溝通╱整合管理、專案時間╱進度控管、產品開發、專案管理架構及專案說明、產品生命週期、軟體工程系統開發、軟體程式設計,大學,台北市南港區,3年,"To lead the product strategy, development, and execution of Software Oriented Network solution and business model within our GenixNetworks CPE platform.
1. GenixNetworks Vision & Roadmap:
Define and own the  Software Oriented Network solution vision, strategy, and roadmap for GenixNetworks cloud networking features
2. Technical Leadership:
Work closely with engineering teams to provide technical input on architecture, design, and implementation of Software Oriented Network solutions. Must be able to delve into the technical details and guide development efforts.
3. Product Lifecycle Management:
Oversee the full lifecycle of Software Oriented Network solution cloud networking features, from concept to delivery, ensuring continuous innovation and alignment with market.
4. Customer-Centric Development:
Engage with customers to understand their networking challenges and translate feedback into product improvements and innovations.
5. Market & Competitive Analysis:  
Stay informed of industry trends and competitor activities, using this knowledge to shape the future of GenixNetworks cloud networking offerings."
Senior Back-end Golang Developer-資深後端Golang工程師,美商時豪科技股份有限公司,1~2人,後端工程師,待遇面議,軟體工程系統開發,大學,台北市中正區,3年,"1.使用 Golang 開發和維護高效能的後端服務和 API。
2.與前端、產品和設計團隊合作，確保功能的實現符合業務需求。
3.分析和解決系統性能瓶頸，優化系統效能。
4.設計並實現可擴展、可靠的系統架構。
5.確保代碼品質，撰寫單元測試和集成測試。
6.管理和優化資料庫，確保數據安全與存取效率。
7.定期進行系統安全性檢查並實施必要的修復措施。"
客戶服務工程師 CE (大台北),華茂資訊股份有限公司,3~5人,"電腦組裝／測試
、網路管理工程師
、系統工程師","月薪36,000~48,000元",不拘,高中,新北市中和區,不拘,"職務介紹：
我們正在尋找充滿熱情、喜歡挑戰的你，加入我們的Customer Engineer團隊！如果你對解決問題充滿興趣，並願意提供專業的技術支援，這將是你發揮所長的最佳機會！

工作內容：
• 安裝、設定電腦及設備，並進行清查與記錄。
• 維修、組裝電腦硬體，並負責送修回報處理。
• 快速有效地進行故障排除，解答客戶問題並提供建議。

工作時間：
• 每日 9:00-18:00 (中午休息1小時）

我們希望你有：
• 電腦或週邊設備維護經驗者優先，無經驗熱衷學習亦可。
• 熟悉Windows系統和基本網路架構。
• 願意學習並動手修繕POS硬體設備。
• 具備有效的汽機車駕照(需自備機車)，能輕鬆駕駛到各地服務。
• 充滿熱忱與責任感，樂於學習新事物。
• 願意協助主管完成其他任務，並一起達成團隊目標。

我們提供的福利：
• 基本福利：生日禮金、中秋端午節獎金、年終績效獎金、結婚補助、生育補助、喪葬奠儀以及介紹獎金等多項福利！
• 扁平化管理：讓你在輕鬆的氛圍中發揮所長，簡單、直效的溝通與自我管理，提升工作效率！
• 舒適的工作環境：免費飲料供應，不定期員工聚餐，讓你在工作中也能享受生活！
• 油資補助：讓你通勤更輕鬆，不論距離多遠，我們都支持你！
• 彈性排班：更好的工作與生活平衡，讓你自由安排時間！
• 學習成長：不斷學習的機會，成為技術高手，提升自我！

如果你熱愛挑戰並且想在充滿活力的團隊中成長，歡迎您加入我們！"
前端軟體工程師(Frontend Software Engineer),美商正思網路股份有限公司台灣分公司,1~2人,"Internet程式設計師
、全端工程師
、前端工程師",待遇面議,軟體程式設計,大學,台北市南港區,1年,"1. 前端/後端程式 RESTful API 集成。
2. Android Play Store / iOS App Store開發與發佈。
3. 規劃執行軟體架構及模組之設計。
4. 進行軟體之測試與修改。
5. 協助研發軟體新技術與新工具。"
研發類-Drone Payload R&D Lead 無人機酬載研發主管,中光電智能機器人股份有限公司,1人,"軟體工程師
、軟體專案主管",待遇面議,測試環境建置規劃、模組化系統設計、結構化程式設計、軟體程式設計、測試計劃及測試報告書撰寫、系統架構規劃、軟體整合測試、問題追蹤處理(Bug tracking)、使用者測試(Usability test)、安全性測試(Security test)、功能測試(function test)、軟體品質與保證、軟體工程系統開發、系統整合分析,碩士,新竹市,10年,"主要職責
  無人機酬載系統整合，帶領團隊實現卓越的產品設計與量產成果 

主要任務
 1. 團隊領導與專案開發：
     帶領跨功能的研發團隊，規劃並執行酬載相關專案的開發與技術落地，確保專案如期達成。
 2. 客戶技術需求管理：
     與客戶深入溝通技術規格，分析需求並制定產品開發計劃，提供最佳解決方案。
 3. 產品量產與技術支持：
     主導產品量產導入，確保從開發到量產的順暢轉移，並解決相關技術問題。
 4. 新技術研究與應用：
     持續研究並導入前沿技術，提升產品性能與競爭力。
 5. 技術文檔管理：
     撰寫並維護產品相關技術文件，包括設計文件、測試計劃與用戶手冊，確保內外部信息一致性。"
Cloud Support Engineer 雲端工程師(台北),新加坡商鈦坦科技股份有限公司台灣分公司,1人,"系統工程師
、網路管理工程師
、網路安全分析師","月薪45,000~80,000元",不拘,不拘,台北市南港區,不拘,"也許你看過另一個 DevOps 的職位了。

如果你覺得那個職位的工作壓力太大，你的熱情還不足以支持你去挑戰他的話，不要緊，這個職位就是為你準備的！

俗話說的好，最好的學習方法就是抄，抄就是照做。上億的機器和設備怎麼上手？就是先照著前輩寫好的程序做，這麼做一方面可以了解應用面的適用情境，另一方面也降低了從頭學起的門檻。

我們團隊不談太多夢想和願景，創意更是不能當飯吃。
老實練功是我們的忠告，確實的做好第一線支援的例行工作，留意各種警示訊息背後的技術意義，沒有當值時不妨翻翻技術手冊或文件對照一下這些昂貴設備裡的設定，或趁新設備還未上線前拿來反覆練手。
如果你平常就喜歡幹這些事情，那我們這一定很適合你。

等到技術蹲穩了，經驗累積起來了，你才看得到營運面或流程面該搭配什麼樣的技術才足以因應，才會有機會來規劃百萬、千萬級的基礎架構，就能理解那些各種層出不窮的 IT 新名詞，哪些是真的能替公司帶來好處的，哪些並不一定適合我們的環境。
能練到這個等級，你縱使不是公司的領導，也會無時無刻的影響著公司的走向。

我們團隊最喜歡的休閒活動是打電動、玩桌遊，偶而會自己晚上留下來打打桌遊或電動，最近 PS4, Vive, Switch 沒那麼紅了，比較常看到大家晚上圍在一台同事買來放公司的 50 吋電視前看 Netflix。

桌球桌+發球機，賽車架和方向盤也還在，覺得融入的話你也可以帶你自己覺得有趣的東西到公司來，如果你也喜歡這種氛圍，歡迎加入我們~

•負責第一線事件發生時障礙排除
•即時監控及記錄所有事件。
•確實紀錄報修事件、追蹤並回報處理狀況。
•網路及系統監控，需配合公司輪班。
•協助執行伺服器及網路相關維護工作。
•執行工作相關SOP文件
•輪班on call (另有津貼)"
AI資料科學分析人員,第一銀行_第一商業銀行股份有限公司,1~2人,"數據分析師
、AI工程師
、資料科學家",待遇面議,不拘,大學,台北市中正區,不拘,"【工作內容】
1.生成式AI、機器學習、深度學習或統計分析模型專案開發。
2.配合數據技術發展目標，研究與實作可落地應用之新型態數據模型技術。
3.建立生成式AI技術輔助各類型銀行需求使用，包含RAG架構流程、向量知識庫取用、Prompt設計、微調與部署開源模型等。
4.協助數據轉型，規劃從需求痛點到落地應用之解決方案，並具備實做能力。

【資格條件】
1.國內、外大學(含) 以上資訊資訊管理相關、資訊工程相關、其他數學及電算機科學相關相關科系畢業。
2.熟悉Python與SQL
3.具有生成式AI/深度學習/機器學習開發框架，如 Transformers、LangChain、 TensorFlow、PyTorch、Scikit-Learn使用經驗，並有實際專案落地經驗。
4.具有LLM相關技術之實作經驗(Prompt、RAG、VectorDB、fine-tune)。
5.熟悉容器化技術（如 Docker、Kubernetes）及 CI/CD 流程。"
電氣設備維護學徒(需輪班),永裕興工程有限公司,1~2人,"生產技術／製程工程師
、系統工程師","月薪32,500~45,000元",不拘,高中,高雄市小港區,不拘,"1.電氣設備維護保養等相關工作
2.有意學習無經驗可
3.勞健保團險"
Frontend Developer 前端工程師,丹麥商科拉蔚有限公司,1人,前端工程師,待遇面議,不拘,大學,台北市中山區,3年,"Help build innovative interfaces for our global AI systems

At Claviate, we have developed a revolutionary data platform built around advanced AI cameras deployed worldwide. Our solutions support the installation and documentation of wind turbines – both offshore and onshore – where compelling user interfaces are essential. We are therefore looking for a Front End Developer with strong Javascript skills and a creative mindset to help design, develop, and optimize our user-facing applications – ensuring our customers can interact effectively with our data across the globe.


Your responsibilities will include:

- Developing new ways for customers to interact with our gathered data
- Developing new modules and improvements for our customer portal and app
- Creating applications focused on text/forms, data visualizations, or streaming media workflows
- Optimizing applications for Chrome browser with a focus on mobile devices
- Taking a proactive role in leading the development of innovative, cross-platform, stable applications
- Collaborating closely with backend developers, data scientists, and UX designers
- Contributing to the continuous improvement of our front-end architecture and best practices
- Supporting junior developers and interns with their daily coding tasks


We're looking for someone with:

- Fluency in English
- Strong Javascript skills and deep understanding of browser technologies
- Experience with React and TypeScript
- At least 3 years of experience in front-end development
- A systematic approach to coding and problem-solving
- Clear communication skills, especially when collaborating with team members
- The ability to work well with deadlines and bring structure to projects
- A proactive attitude and willingness to contribute innovative ideas


It's a plus if you also have:

- Experience with data visualization libraries
- Familiarity with Python and Postgres
- A preference for working in an interdisciplinary, fast-paced environment


Why Claviate?

At Claviate, we value cross-disciplinary collaboration and strong team spirit. We operate in a high-speed development environment where we enjoy taking on ambitious projects and pushing ourselves – both technically and creatively. Our culture emphasizes informal collaboration and social interaction, with several team events throughout the year. We always strive to deliver solutions that exceed our customers' expectations – and we have fun doing it.


Questions?

Feel free to contact Hao-Yu Chien at +886 965625862 or haoyu@claviate.com if you have any questions about the position."
電信網路系統工程師,信祥股份有限公司,1人,"電信／通訊系統工程師
、產品維修人員
、網路管理工程師","月薪28,590~35,000元",不拘,專科,新北市新店區,不拘,"1.規劃通信網路與電信等系統。
2.負責通信設備（如：電腦系統、數位通信線）管理維護。"
遊戲機率工程師,美商時豪科技股份有限公司,1~2人,後端工程師,待遇面議,遊戲營運、數值設計,大學,台北市中正區,不拘,"1.設計遊戲數學模型，包括機率分佈、隨機事件、掉落機制和獎勵系統。
2.與遊戲設計師合作，確保數學模型與遊戲玩法的融合性和娛樂性。
3.實施和測試隨機機率的算法，確保其公平性、隨機性和可控性。
4.撰寫相關技術文檔，記錄數學模型與分析過程，並向團隊報告測試結果。"
Unity 資深遊戲軟體工程師,美商時豪科技股份有限公司,2~3人,"軟體工程師
、電玩程式設計師","年薪1,000,000元以上",軟體程式設計,大學,台北市中正區,5年,"1.使用 Unity 參與前端項目開發
2.與團隊成員合作，確保項目順利執行
3.按照專案時程，開發並完成項目需求

【必備技能】
1.熟悉 Unity 引擎
2.熟悉 C# 程式語言
3.熟悉 NGUI/UGUI
4.熟悉 Git 版本控制
5.具備良好的溝通與協作能力
6.具備獨立完成項目需求能力"
全端軟體工程師(Full Stack Software Engineer),美商正思網路股份有限公司台灣分公司,1~2人,"Internet程式設計師
、全端工程師
、前端工程師",待遇面議,軟體程式設計,大學,台北市南港區,1年,"Must:
1. 3+ years in front-end development.
2. 2+ years with one of modern front-end frameworks such as React.
3. Proficiency in ES6+, TypeScript and CSS pre/post processors.
4. Wide understanding of mainstream frontend technologies like Angular/Vue, RWD, design system, Web Storage, … and more.
5. Experience of i18n, l10n, a11y and cross-browser compatibility."
工程師助理,凌全科技股份有限公司,2~3人,"軟體工程師
、Internet程式設計師
、MIS程式設計師","月薪40,000~55,000元",網路程式設計、資料庫程式設計、MES工廠執行系統規劃管理,大學,台北市大安區,不拘,"為了因應公司業務擴展，我們正在尋找優秀的人才加入我們的團隊！如果你對技術充滿熱情，喜歡解決問題，或是對程式開發有憧憬，並希望在穩定且充滿挑戰的環境中發展，歡迎加入我們！

資工/資管、理工相關科系畢業尤佳，具備良好的團隊合作與溝通能力，無經驗可。
基礎培訓2週+主題培訓及企業實作4週。

1.主要工作內容為MES系統開發及維護(採用.Net Core及WPF)
2.熟悉資料庫 (SQL)
3.協助開發MES與ERP或其他系統之溝通介面(webapi)
4.編寫軟體代碼、完成單元測試、協助測試
5.開發完成的程式完整滿足需求
6.學習解決開發過程中的技術問題
7.系統開發測試、部署和整合
8.主管交待事項及其他客戶技術支援"
